id_unidade;nome;latitude;longitude;total_retirado
337;UBS SÉ;-23,551244;-46,628102;2271650
73;UBS BURGO PAULISTA;-23,523251;-46,490492;2212425
410;UBS VILA PRUDENTE;-23,581974;-46,583095;1281324
367;UBS VILA DAS MERCÊS;-23,629575;-46,604935;1163576
324;UBS SANTA CECÍLIA - DR HUMBERTO PASCALE;-23,531812;-46,652206;1162038
170;UBS JARDIM ELEDY;-23,654763;-46,784546;1067164
345;UBS VERA CRUZ - DR FERNANDO PROENÇA DE GOUVEA;-23,734693;-46,781399;1037195
440;UPA VERA CRUZ;-23,734693;-46,781399;1036453
206;UBS JARDIM MIRIAM II;-23,678943;-46,64006;1021379
126;UBS ERMELINO MATARAZZO;-23,488976;-46,476551;1004150
11;AMA/UBS JARDIM CASTRO ALVES - DRA MARIA CRISTINA F;-23,742542;-46,686385;981415
33;AMA/UBS PARQUE FERNANDA;-23,675866;-46,792143;941536
47;AMA/UBS VILA ORATÓRIO - DR. TITO PEDRO MASCELANI;-23,574095;-46,55899;923684
8;AMA/UBS JARDIM BRASIL;-23,486074;-46,576754;898734
202;UBS JARDIM MAIA;-23,492313;-46,41572;871151
39;AMA/UBS VILA ANTONIETA;-23,573376;-46,51582;852903
420;UBS VILA SANTANA;-23,525283;-46,44572;831122
18;AMA/UBS JARDIM LADEIRA ROSA;-23,460809;-46,673366;808911
214;UBS JARDIM ORION/GUANHEMBU;-23,727229;-46,68573;802583
158;UBS JARDIM COMERCIAL;-23,671608;-46,77954;801231
259;UBS JOSE BONIFACIO III - DRA. LUCY MAYUMI UDAKIRI;-23,540462;-46,439289;798658
13;AMA/UBS JARDIM DAS OLIVEIRAS;-23,495215;-46,380446;796866
171;UBS JARDIM ELIANE;-23,75398;-46,670675;793741
155;UBS JARDIM COIMBRA;-23,678675;-46,762626;793556
200;UBS JARDIM MACEDÔNIA;-23,653206;-46,789802;785330
138;UBS INACIO MONTEIRO;-23,576502;-46,391778;776303
35;AMA/UBS PAULO VI;-23,60189;-46,795247;775543
116;UBS DR. JOSÉ TOLEDO PIZA;-23,461035;-46,583222;760969
31;AMA/UBS PARQUE BOTURUSSU PROF. DR. HUMBERTO CERRUTI;-23,502178;-46,493748;758488
76;UBS CAMBUCI;-23,569756;-46,623117;754801
300;UBS PARQUE NOVO SANTO AMARO;-23,700151;-46,782205;753816
36;AMA/UBS PERUS;-23,409546;-46,757242;751015
364;UBS VILA CURUÇÁ;-23,5023;-46,422952;749556
298;UBS PARQUE NOVO MUNDO I;-23,517898;-46,577016;747352
266;UBS MARIA CECÍLIA FERRO DONNANGELO;-23,473232;-46,683939;746440
219;UBS JARDIM PERI;-23,464226;-46,654818;743128
441;UPA VILA MARIA - DR JOSE MAURO DEL ROIO CORREA;-23,517303;-46,57732;735158
45;AMA/UBS VILA MISSIONÁRIA;-23,688981;-46,64963;733012
295;UBS PARQUE FIGUEIRA GRANDE;-23,67927;-46,74906;732096
106;UBS CUPECÊ - DR. WALDOMIRO PREGNOLATTO;-23,648111;-46,662108;724300
51;AMA/UBS VILA PREL - ANTONIO BERNARDES DE OLIVEIRA;-23,648337;-46,754124;722913
319;UBS REPÚBLICA - FERNANDA SANTE LIMEIRA;-23,547169;-46,636719;720481
207;UBS JARDIM MITSUTANI;-23,644109;-46,78064;718658
323;UBS SACOMÃ - EDMUNDO SUSSUMU FUJITA;-23,61397;-46,593917;710950
305;UBS PARQUE SANTA RITA;-23,513056;-46,413587;710061
260;UBS JOSÉ MARCÍLIO MALTA CARDOSO;-23,570193;-46,760919;709684
241;UBS JARDIM SÃO BENTO;-23,685574;-46,784452;709533
285;UBS PARELHEIROS;-23,830119;-46,727018;708248
46;AMA/UBS VILA NOVA JAGUARÉ;-23,543204;-46,744508;704027
438;UPA SACOMÃ;-23,61397;-46,593917;700944
224;UBS JARDIM ROBRU - GUAIANAZES;-23,524742;-46,418033;695558
23;AMA/UBS JARDIM SÃO JORGE - DR. PAULO EDUARDO ELIAS;-23,592622;-46,78377;695448
341;UBS UNIÃO DAS VILAS DE TAIPAS;-23,435982;-46,71802;694771
12;AMA/UBS JARDIM DA CONQUISTA III;-23,60785;-46,447629;687681
101;UBS CITY JARAGUA;-23,441771;-46,734152;685297
17;AMA/UBS JARDIM JOAMAR;-23,44883842;-46,59601224;678200
325;UBS SANTA LÚCIA;-23,688958;-46,766005;676656
320;UBS REUNIDAS I;-23,604181;-46,532643;670652
292;UBS PARQUE DOROTEIA;-23,697363;-46,648234;669377
186;UBS JARDIM ICARAI QUINTANA;-23,746157;-46,70569;668530
5;AMA/UBS DR. GERALDO DA SILVA FERREIRA;-23,652274;-46,637902;668259
222;UBS JARDIM REPÚBLICA;-23,714924;-46,687165;667890
433;UPA PARQUE DOROTEIA;-23,697373;-46,64848923;662212
427;UPA CITY JARAGUA;-23,441765;-46,733731;661602
239;UBS JARDIM SOARES;-23,553821;-46,398645;660889
286;UBS PARQUE ARARIBA;-23,638134;-46,749688;657052
301;UBS PARQUE PAULISTANO;-23,487241;-46,432214;655451
279;UBS NOVO JARDIM I;-23,666553;-46,736491;655015
362;UBS VILA CISPER;-23,489888;-46,491591;653440
92;UBS CIDADE IPAVA;-23,720343;-46,764792;651535
96;UBS CIDADE NOVA SÃO MIGUEL;-23,503639;-46,431919;650792
15;AMA/UBS JARDIM GRIMALDI;-23,591972;-46,516349;645378
344;UBS VELEIROS;-23,683051;-46,711533;643921
339;UBS THÉRSIO VENTURA;-23,503523;-46,47097;640945
203;UBS JARDIM MARACÁ;-23,671713;-46,772677;640807
83;UBS CASTRO ALVES;-23,580502;-46,404444;638249
22;AMA/UBS JARDIM SAO FRANCISCO II;-23,631224;-46,458069;636607
304;UBS PARQUE RESIDENCIAL COCAIA INDEPENDENTE;-23,744909;-46,668805;636569
44;AMA/UBS VILA MEDEIROS;-23,492496;-46,585349;635535
21;AMA/UBS JARDIM SANTO ANDRÉ;-23,630975;-46,443448;635000
253;UBS JARDIM VISTA ALEGRE - VANDA APARECIDA DOS SANTOS;-23,450181;-46,688636;633815
227;UBS JARDIM ROSELI;-23,597326;-46,439499;633761
77;UBS CAMPO GRANDE;-23,674283;-46,685167;632881
29;AMA/UBS PADRE MANOEL DA NÓBREGA;-23,544955;-46,48699;631521
312;UBS PREFEITO CELSO AUGUSTO DANIEL;-23,563461;-46,396794;630337
335;UBS SÃO MATEUS - NAIR ALVES DE REZENDE NORIMBENI;-23,59987;-46,483078;628489
199;UBS JARDIM LÍDIA;-23,666041;-46,762719;626201
356;UBS VILA CAIÚBA;-23,399928;-46,751123;625001
53;AMA/UBS VILA SONIA;-23,597638;-46,734804;621662
318;UBS RECANTO VERDE SOL;-23,617488;-46,422112;619285
307;UBS PARQUE SÃO LUCAS;-23,596283;-46,546275;619076
274;UBS NASCER DO SOL;-23,595179;-46,412514;617806
192;UBS JARDIM JAPÃO;-23,505844;-46,588065;617292
150;UBS JARDIM CAMPINAS;-23,771606;-46,712544;617193
148;UBS JARDIM BOA VISTA;-23,584116;-46,791236;616215
293;UBS PARQUE EDU CHAVES;-23,477272;-46,568751;614256
354;UBS VILA BERTIOGA - DOMINGOS DELASCIO;-23,57093;-46,575467;613593
80;UBS CARLOS GENTILE DE MELO;-23,588657;-46,396489;611030
210;UBS JARDIM NOSSA SENHORA DO CARMO;-23,577766;-46,48126;608114
9;AMA/UBS JARDIM BRASILIA;-23,554747;-46,491944;607305
417;UBS VILA SABRINA - DR. CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA;-23,492425;-46,572817;606260
179;UBS JARDIM GUAIRACÁ;-23,599765;-46,539917;604207
121;UBS DRA. ILZA WELTMAN HUTZLER;-23,476667;-46,659038;601869
343;UBS VARGINHA;-23,78522;-46,683916;601346
315;UBS PROF. MILTON SANTOS;-23,628802;-46,646296;600427
10;AMA/UBS JARDIM CAPELA;-23,730482;-46,788771;599303
423;UBS VILA ZATT;-23,47707;-46,711546;599106
251;UBS JARDIM VALQUIRIA;-23,658143;-46,775156;595478
52;AMA/UBS VILA SILVIA;-23,491486;-46,50436;588905
50;AMA/UBS VILA PIAUÍ;-23,502392;-46,761177;587879
397;UBS VILA NATAL;-23,763955;-46,707403;582527
124;UBS ENGENHEIRO GOULART - DR. JOSÉ PIRES;-23,500315;-46,5172;582304
204;UBS JARDIM MARILIA;-23,56266;-46,492422;579262
135;UBS HUMAITÁ - DR. JOÃO DE AZEVEDO LAGE;-23,557223;-46,641943;578920
183;UBS JARDIM HELENA;-23,479272;-46,414694;578034
94;UBS CIDADE KEMEL;-23,504193;-46,366966;577128
38;AMA/UBS SÍTIO DA CASA PINTADA;-23,510046;-46,446568;576104
371;UBS VILA EMA - DR FUAD KASSAB;-23,5818209;-46,5469837;575217
6;AMA/UBS ELISIO TEIXEIRA LEITE;-23,446305;-46,714341;574598
255;UBS JAÇANÃ - DR. SEBASTIÃO GABRIEL SAYAGO DE LAET;-23,474601;-46,580464;568743
299;UBS PARQUE NOVO MUNDO II;-23,511999;-46,565792;566760
16;AMA/UBS JARDIM IPANEMA;-23,446341;-46,749058;565305
100;UBS CIDADE TIRADENTES - LUIS MARANHÃO;-23,586919;-46,406914;565201
249;UBS JARDIM TRÊS CORAÇÕES;-23,769673;-46,68463;557323
302;UBS PARQUE PERUCHE;-23,497668;-46,65475;557101
425;UBS ÁGUA FUNDA;-23,630363;-46,626056;556590
142;UBS ITAQUERA;-23,539456;-46,455397;556268
217;UBS JARDIM PARANAPANEMA;-23,69334;-46,780739;556172
421;UBS VILA SANTO ESTEVÃO - WOADY JORGE KALIL;-23,549138;-46,561071;555299
95;UBS CIDADE LIDER;-23,55418;-46,465023;555177
67;UBS BELENZINHO - MARCUS WOLOSKER;-23,537251;-46,59554;554086
396;UBS VILA MORAES - JOÃO PAULO BOTELHO VIEIRA;-23,633518;-46,612541;553916
98;UBS CIDADE PEDRO JOSE NUNES;-23,50099;-46,462421;553776
402;UBS VILA NOVA MANCHESTER - DR. ARLINDO GENNARI;-23,54651;-46,531881;552051
338;UBS TEOTONIO VILELA;-23,605914;-46,503437;550714
62;UBS ALTO DE PINHEIROS - DR SUEL ABUJAMRA;-23,537596;-46,721961;546685
162;UBS JARDIM DA CONQUISTA II;-23,606582;-46,442832;546485
342;UBS UNIÃO DE VILA NOVA;-23,483441;-46,45933;544967
378;UBS VILA GRANADA - DR ALFREDO FERREIRA PAULINO FILHO;-23,523592;-46,508683;543441
400;UBS VILA NOVA CURUÇÁ;-23,516246;-46,426579;539608
114;UBS DR. EDUARDO ROMANO RESCHILIAN;-23,638629;-46,606148;539490
34;AMA/UBS PARQUE SANTO ANTONIO;-23,657198;-46,755887;538504
37;AMA/UBS SÃO VICENTE DE PAULA;-23,590937;-46,608997;538434
193;UBS JARDIM JAQUELINE;-23,594884;-46,75181;538027
1;AMA/UBS AGUIA DE HAIA;-23,522049;-46,469253;537866
240;UBS JARDIM SOUZA;-23,688776;-46,748299;537355
108;UBS DOM JOÃO NERY;-23,522795;-46,399815;536902
131;UBS GUAIANASES II;-23,545666;-46,41555;536404
151;UBS JARDIM CAMPOS;-23,512347;-46,408978;535879
43;AMA/UBS VILA IMPÉRIO;-23,672923;-46,649436;535842
7;AMA/UBS JARDIM ALFREDO;-23,681717;-46,738937;533540
20;AMA/UBS JARDIM PAULISTANO;-23,4614893;-46,7090157;533362
136;UBS IAÇAPE - JARDIM PLANALTO;-23,610489;-46,509843;532449
294;UBS PARQUE ENGENHO II;-23,661211;-46,785958;532396
49;AMA/UBS VILA PEREIRA BARRETO;-23,487789;-46,713389;532204
250;UBS JARDIM UMUARAMA;-23,661943;-46,669702;528684
368;UBS VILA DIONISIA;-23,46509;-46,661781;527943
41;AMA/UBS VILA CALIFORNIA - ZEILIVAL BRUSCAGIN;-23,605165;-46,555188;525721
376;UBS VILA FORMOSA I - DR. ANTONIO DA SILVEIRA E OLIVEIRA;-23,562265;-46,552358;525173
2;AMA/UBS AMERICANOPOLIS;-23,664974;-46,644203;524442
189;UBS JARDIM IPORÃ;-23,7832688;-46,7125378;523409
311;"UBS PONTE RASA - DR. CARLOS OLIVALDO DE SOUZA LOPES MUNIZ ";-23,515069;-46,48304;522969
78;UBS CAMPO LIMPO;-23,636955;-46,763805;522670
226;UBS JARDIM ROMANO VILA ITAIM;-23,486494;-46,392531;522391
54;AMA/UBS WAMBERTO DIAS DA COSTA;-23,468866;-46,603249;522056
347;UBS VILA ALPINA - DR. HERMINIO MOREIRA;-23,596516;-46,567697;521143
288;UBS PARQUE BOA ESPERANÇA;-23,594938;-46,448577;520295
154;UBS JARDIM CLIPER - ROCILDA SOARES ALVES SILVA;-23,723518;-46,70575;519382
