id_unidade,nome,latitude,longitude,total_retirado,subprefeitura,dist_km
337,UBS SÉ,-23.551244,-46.628102,32208991.0,SÉ,0.7623390908173716
73,UBS BURGO PAULISTA,-23.523251,-46.490492,27830554.0,ERMELINO MATARAZZO,2.0806791296407288
410,UBS VILA PRUDENTE,-23.581974,-46.583095,17846303.0,IPIRANGA,2.118135722781246
11,AMA/UBS JARDIM CASTRO ALVES - DRA MARIA CRISTINA F,-23.742542,-46.686385,16844059.0,CAPELA DO SOCORRO,2.9226010099315856
206,UBS JARDIM MIRIAM II,-23.678943,-46.64006,16728442.0,JABAQUARA,3.4679450302573644
324,UBS SANTA CECÍLIA - DR HUMBERTO PASCALE,-23.531812,-46.652206,15887166.0,SÉ,2.535011336908527
8,AMA/UBS JARDIM BRASIL,-23.486074,-46.576754,15733455.0,JACANA/TREMEMBE,2.082588914950169
367,UBS VILA DAS MERCÊS,-23.629575,-46.604935,14941298.0,JABAQUARA,4.098924740889684
323,UBS SACOMÃ - EDMUNDO SUSSUMU FUJITA,-23.61397,-46.593917,13940656.0,IPIRANGA,3.1070547248320444
438,UPA SACOMÃ,-23.61397,-46.593917,13634467.0,IPIRANGA,3.1070547248320444
339,UBS THÉRSIO VENTURA,-23.503523,-46.47097,13079845.0,ERMELINO MATARAZZO,0.9687266498862392
47,AMA/UBS VILA ORATÓRIO - DR. TITO PEDRO MASCELANI,-23.574095,-46.55899,12703110.0,VILA PRUDENTE,0.9750821481715336
21,AMA/UBS JARDIM SANTO ANDRÉ,-23.630975,-46.443448,12523069.0,SÃO MATEUS,4.343091108086606
44,AMA/UBS VILA MEDEIROS,-23.492496,-46.585349,12221753.0,SANTANA/TUCURUVI,2.2462221785786567
320,UBS REUNIDAS I,-23.604181,-46.532643,12107699.0,SAPOPEMBA,2.0815025585947597
126,UBS ERMELINO MATARAZZO,-23.488976,-46.476551,12000979.0,ERMELINO MATARAZZO,2.085257182341365
31,AMA/UBS PARQUE BOTURUSSU PROF. DR. HUMBERTO CERRUTI,-23.502178,-46.493748,11843538.0,ERMELINO MATARAZZO,1.5805049354973064
2,AMA/UBS AMERICANOPOLIS,-23.664974,-46.644203,11621515.0,JABAQUARA,1.9632634690128599
116,UBS DR. JOSÉ TOLEDO PIZA,-23.461035,-46.583222,11427695.0,JACANA/TREMEMBE,0.7845675660798366
36,AMA/UBS PERUS,-23.409546,-46.757242,11306778.0,PERUS/ANHANGUERA,0.5050234809110141
46,AMA/UBS VILA NOVA JAGUARÉ,-23.543204,-46.744508,11106980.0,PINHEIROS,4.7574330382261545
106,UBS CUPECÊ - DR. WALDOMIRO PREGNOLATTO,-23.648111,-46.662108,11089288.0,JABAQUARA,2.2583602836126917
39,AMA/UBS VILA ANTONIETA,-23.573376,-46.51582,11053189.0,SAPOPEMBA,3.0176053442054016
124,UBS ENGENHEIRO GOULART - DR. JOSÉ PIRES,-23.500315,-46.5172,11048760.0,PENHA,2.060383990703807
142,UBS ITAQUERA,-23.539456,-46.455397,10390765.0,ITAQUERA,1.0801172181572478
186,UBS JARDIM ICARAI QUINTANA,-23.746157,-46.70569,10382169.0,CAPELA DO SOCORRO,2.895252153299137
33,AMA/UBS PARQUE FERNANDA,-23.675866,-46.792143,10314759.0,M'BOI MIRIM,6.553536539018397
179,UBS JARDIM GUAIRACÁ,-23.599765,-46.539917,10296166.0,SAPOPEMBA,2.779620518837821
345,UBS VERA CRUZ - DR FERNANDO PROENÇA DE GOUVEA,-23.734693,-46.781399,10236355.0,CAPELA DO SOCORRO,8.25851766412836
440,UPA VERA CRUZ,-23.734693,-46.781399,10147180.0,CAPELA DO SOCORRO,8.25851766412836
260,UBS JOSÉ MARCÍLIO MALTA CARDOSO,-23.570193,-46.760919,9977108.0,BUTANTA,3.0789685693765003
319,UBS REPÚBLICA - FERNANDA SANTE LIMEIRA,-23.547169,-46.636719,9960803.0,SÉ,0.22658070127004118
364,UBS VILA CURUÇÁ,-23.5023,-46.422952,9956362.0,ITAIM PAULISTA,1.1645130677166105
